time,value
2021-01-01T00:06:33.688Z,43.3
2021-01-01T00:19:44.996Z,44.3
2021-01-01T00:19:50.09Z,43.8
2021-01-01T00:21:52.631Z,43.3
2021-01-01T00:27:49.961Z,44.3
2021-01-01T00:29:11.673Z,43.3
2021-01-01T00:29:52.502Z,43.8
2021-01-01T00:39:24.344Z,44.3
2021-01-01T00:40:40.877Z,44.3
2021-01-01T00:41:52.363Z,43.3
2021-01-01T00:44:20.42Z,44.3
2021-01-01T00:45:21.691Z,43.3
2021-01-01T00:47:19.051Z,44.3
2021-01-01T00:49:26.585Z,43.3
2021-01-01T00:50:43.179Z,43.3
2021-01-01T00:59:13.715Z,44.3
2021-01-01T01:01:26.496Z,44.3
2021-01-01T01:02:17.561Z,43.3
2021-01-01T01:07:03.309Z,44.3
2021-01-01T01:09:34.493Z,43.3
2021-01-01T01:13:49.743Z,43.3
2021-01-01T01:24:48.176Z,43.3
2021-01-01T01:29:34.051Z,44.3
2021-01-01T01:30:14.888Z,43.3
2021-01-01T01:31:33.745Z,44.3
2021-01-01T01:32:29.861Z,43.3
2021-01-01T01:35:03.057Z,43.8
2021-01-01T01:46:42.47Z,43.3
2021-01-01T01:52:53.752Z,44.3
2021-01-01T01:54:35.783Z,43.3
2021-01-01T01:57:49.755Z,44.3
2021-01-01T01:57:54.859Z,43.8
2021-01-01T02:00:12.621Z,43.3
2021-01-01T02:00:48.361Z,44.3
2021-01-01T02:01:59.778Z,43.3
2021-01-01T02:08:22.482Z,43.3
2021-01-01T02:18:30.255Z,43.3
2021-01-01T02:24:17.39Z,44.3
2021-01-01T02:30:04.476Z,43.3
2021-01-01T02:30:09.57Z,43.8
2021-01-01T02:32:37.576Z,44.3
2021-01-01T02:33:13.33Z,43.3
2021-01-01T02:36:48.889Z,44.3
2021-01-01T02:38:46.296Z,43.3
2021-01-01T02:44:13.057Z,44.3
2021-01-01T02:44:18.149Z,43.8
2021-01-01T02:45:09.186Z,43.3
2021-01-01T02:54:25.454Z,43.3
2021-01-01T02:55:22.538Z,44.3
2021-01-01T02:55:32.739Z,43.3
2021-01-01T03:04:59.374Z,43.3
2021-01-01T03:11:06.884Z,44.3
2021-01-01T03:12:03.07Z,43.3
2021-01-01T03:15:27.265Z,43.3
2021-01-01T03:19:37.334Z,44.3
2021-01-01T03:23:32.207Z,43.3
2021-01-01T03:26:46.205Z,43.3
2021-01-01T03:35:16.605Z,44.3
2021-01-01T03:37:14.069Z,43.3
2021-01-01T03:37:19.152Z,43.8
2021-01-01T03:48:22.736Z,43.3
2021-01-01T03:52:37.895Z,44.3
2021-01-01T03:56:22.528Z,43.3
2021-01-01T03:59:00.815Z,43.3
2021-01-01T04:02:30.148Z,44.3
2021-01-01T04:04:32.647Z,43.3
2021-01-01T04:07:41.507Z,44.3
2021-01-01T04:08:17.249Z,43.3
2021-01-01T04:11:51.653Z,43.3
2021-01-01T04:17:23.469Z,44.3
2021-01-01T04:20:12.014Z,43.3
2021-01-01T04:23:10.656Z,43.3
2021-01-01T04:34:04.21Z,43.3
2021-01-01T04:41:28.258Z,44.3
2021-01-01T04:42:50.001Z,43.3
2021-01-01T04:44:06.613Z,43.8
2021-01-01T04:51:10.674Z,44.3
2021-01-01T04:51:36.188Z,43.3
2021-01-01T04:58:04.293Z,44.3
2021-01-01T04:58:09.385Z,43.8
2021-01-01T04:58:24.717Z,43.3
2021-01-01T04:58:50.244Z,44.3
2021-01-01T05:00:32.31Z,43.3
2021-01-01T05:09:28.211Z,43.3
2021-01-01T05:20:09.92Z,43.3
2021-01-01T05:26:02.067Z,44.3
2021-01-01T05:30:32.529Z,43.3
2021-01-01T05:30:37.619Z,43.8
2021-01-01T05:41:17.542Z,43.3
2021-01-01T05:42:34.069Z,44.3
2021-01-01T05:45:17.427Z,43.3
2021-01-01T05:46:28.868Z,44.3
2021-01-01T05:49:47.954Z,43.3
2021-01-01T05:53:00.993Z,43.3
2021-01-01T05:55:34.077Z,44.3
2021-01-01T05:57:26.387Z,43.3
2021-01-01T05:58:17.458Z,44.3
2021-01-01T06:01:36.498Z,43.3
2021-01-01T06:03:23.64Z,43.3
2021-01-01T06:07:49.085Z,44.3
2021-01-01T06:08:35.041Z,43.3
2021-01-01T06:14:17.872Z,44.3
2021-01-01T06:14:22.984Z,43.8
2021-01-01T06:15:54.904Z,43.3
2021-01-01T06:22:33.151Z,44.3
2021-01-01T06:25:42.041Z,44.3
2021-01-01T06:27:39.345Z,43.3
2021-01-01T06:35:47.307Z,43.3
2021-01-01T06:38:05.115Z,44.3
2021-01-01T06:40:02.57Z,43.3
2021-01-01T06:41:59.991Z,44.3
2021-01-01T06:42:20.442Z,43.3
2021-01-01T06:44:07.662Z,44.3
2021-01-01T06:47:16.603Z,44.3
2021-01-01T06:48:02.554Z,43.3
2021-01-01T06:50:30.645Z,44.3
2021-01-01T06:55:38.317Z,43.3
2021-01-01T06:59:07.761Z,43.3
2021-01-01T07:04:39.522Z,44.3
2021-01-01T07:07:43.291Z,43.3
2021-01-01T07:09:25.378Z,43.3
2021-01-01T07:16:06.573Z,44.3
2021-01-01T07:21:28.076Z,43.3
2021-01-01T07:21:33.201Z,43.8
2021-01-01T07:22:03.847Z,44.3
2021-01-01T07:27:25.436Z,43.3
2021-01-01T07:27:35.636Z,44.3
2021-01-01T07:29:53.394Z,43.3
2021-01-01T07:31:35.466Z,43.3
2021-01-01T07:33:08.732Z,44.3
2021-01-01T07:33:59.789Z,43.3
2021-01-01T07:41:33.985Z,44.3
2021-01-01T07:41:39.091Z,43.8
2021-01-01T07:42:56.145Z,43.3
2021-01-01T07:47:36.131Z,44.3
2021-01-01T07:48:06.766Z,43.3
2021-01-01T07:51:41.194Z,43.8
2021-01-01T07:54:44.958Z,44.3
2021-01-01T07:58:39.669Z,43.3
2021-01-01T08:01:18.701Z,44.3
2021-01-01T08:04:07.259Z,43.3
2021-01-01T08:04:12.363Z,43.8
2021-01-01T08:06:35.316Z,44.3
2021-01-01T08:06:45.534Z,43.3
2021-01-01T08:10:40.396Z,44.3
2021-01-01T08:12:42.932Z,43.3
2021-01-01T08:15:51.824Z,43.3
2021-01-01T08:22:00.713Z,44.3
2021-01-01T08:26:46.538Z,43.3
2021-01-01T08:26:51.642Z,43.8
2021-01-01T08:29:34.978Z,44.3
2021-01-01T08:36:54.037Z,43.3
2021-01-01T08:36:59.129Z,43.8
2021-01-01T08:48:41.092Z,44.3
2021-01-01T08:48:46.202Z,43.8
