time,value
2021-02-16T07:21:07.016Z,0
2021-02-19T01:30:31.526Z,0
2021-02-22T04:38:55.375Z,0
2021-02-22T07:22:17.844Z,0
2021-02-23T06:15:40.677Z,0
2021-03-02T03:33:31.787Z,0
2021-03-02T06:58:44.022Z,0
2021-03-22T22:02:23.527Z,0
2021-03-24T01:30:26.056Z,6
2021-03-24T01:30:36.268Z,4.8
2021-03-24T01:30:57.191Z,3.7
2021-03-24T01:32:01.721Z,2.3
2021-03-24T01:32:12.481Z,0.9
2021-03-24T04:48:30.527Z,5
2021-03-24T04:48:51.079Z,0
2021-03-25T04:54:26.767Z,0
2021-03-25T10:36:48.628Z,2.4
2021-03-25T10:37:09.129Z,0
2021-03-29T06:30:23.962Z,0
2021-03-29T08:33:30.933Z,0
2021-03-30T02:01:53.574Z,0
2021-04-06T02:21:52.844Z,0
2021-04-13T02:08:33.334Z,5
2021-04-13T02:09:03.724Z,3.9
2021-04-13T02:10:47.299Z,2.8
2021-04-13T02:11:18.183Z,1.7
2021-04-13T02:11:48.746Z,0.1
2021-04-15T01:31:19.075Z,5
2021-04-15T01:31:49.787Z,2.1
2021-04-15T01:32:20.914Z,0
2021-04-15T01:43:05.69Z,5
2021-04-15T01:43:25.813Z,1.4
2021-04-15T01:43:36.3Z,0
2021-04-15T09:40:03.744Z,3
2021-04-15T09:40:44.866Z,0
2021-04-20T02:06:25.392Z,5
2021-04-20T02:06:46.393Z,0
2021-04-30T05:47:43.521Z,0
2021-04-30T06:17:15.854Z,0
2021-04-30T06:26:52.101Z,0
2021-04-30T06:37:47.593Z,0
2021-05-04T02:08:37.622Z,6.5
2021-05-04T02:08:58.062Z,8
2021-05-04T02:09:08.511Z,9.4
2021-05-04T02:10:42.84Z,8.2
2021-05-04T02:10:53.092Z,6.9
2021-05-04T02:11:15.591Z,5.4
2021-05-04T02:11:26.559Z,3.3
2021-05-04T02:11:47.307Z,1.7
2021-05-04T02:12:18.895Z,0
2021-05-04T02:41:48.137Z,5
2021-05-04T02:44:45.386Z,4
2021-05-04T02:46:29.345Z,1.6
2021-05-04T02:46:39.592Z,0
2021-05-11T02:03:23.143Z,6.3
2021-05-11T02:04:04.435Z,5.3
2021-05-11T02:05:16.647Z,3
2021-05-11T02:05:38.163Z,0
2021-05-11T02:08:22.873Z,5
2021-05-11T02:08:33.101Z,3
2021-05-11T02:08:53.555Z,1.8
2021-05-11T02:09:14.359Z,2.8
2021-05-11T02:11:19.333Z,1.3
2021-05-11T02:11:39.642Z,0
2021-05-11T06:37:46.613Z,1.6
2021-05-11T06:38:06.841Z,0
2021-05-11T07:51:19.789Z,0
2021-05-11T07:57:33.201Z,0
2021-05-11T20:39:17.267Z,1.3
2021-05-11T20:40:29.887Z,0
2021-05-11T20:52:32.202Z,1.3
2021-05-11T20:53:44.505Z,0
2021-05-11T21:15:21.896Z,1.4
2021-05-11T21:16:33.84Z,0
2021-05-11T22:10:59.187Z,1.3
2021-05-11T22:12:02.746Z,0
2021-05-11T22:28:04.061Z,2.1
2021-05-11T22:28:14.628Z,3.8
2021-05-11T22:28:35.008Z,5.5
2021-05-11T22:29:47.278Z,2.9
2021-05-11T22:30:08.061Z,0.5
2021-05-11T22:43:35.954Z,2.8
2021-05-11T22:44:47.887Z,0
2021-05-12T21:36:05.716Z,3.7
2021-05-12T21:36:27.29Z,5.2
2021-05-12T21:37:40.099Z,2.2
2021-05-12T21:37:50.459Z,0.6
2021-05-12T22:27:42.828Z,1.9
2021-05-12T22:28:24.536Z,0.9
2021-05-12T22:41:54.961Z,2.1
2021-05-12T22:42:58.029Z,0
2021-05-17T21:51:57.16Z,1.4
2021-05-17T21:53:08.994Z,0
2021-05-17T22:04:18.324Z,1.2
2021-05-17T22:05:30.646Z,0
2021-05-18T02:33:49.395Z,0
