time,value
2021-01-01T03:33:31.622Z,35
2021-01-01T03:33:36.633Z,34
2021-01-01T03:33:41.645Z,35
2021-01-01T03:33:46.648Z,34
2021-01-01T03:33:56.626Z,35
2021-01-01T03:36:01.627Z,34
2021-01-01T03:39:41.653Z,35
2021-01-01T03:39:51.622Z,34
2021-01-01T03:40:01.627Z,35
2021-01-01T03:55:21.646Z,34
2021-01-01T03:55:36.632Z,35
2021-01-01T03:55:51.624Z,34
2021-01-01T03:56:16.637Z,35
2021-01-01T03:56:36.651Z,34
2021-01-01T03:56:46.63Z,35
2021-01-01T04:02:51.633Z,34
2021-01-01T04:05:56.635Z,35
2021-01-01T04:06:01.636Z,34
2021-01-01T04:06:06.628Z,35
2021-01-01T04:12:26.635Z,34
2021-01-01T04:12:31.639Z,35
2021-01-01T04:12:36.7Z,34
2021-01-01T04:12:46.627Z,35
2021-01-01T04:12:51.63Z,34
2021-01-01T04:13:26.634Z,35
2021-01-01T04:18:11.648Z,34
2021-01-01T04:22:26.626Z,35
2021-01-01T04:22:31.625Z,34
2021-01-01T04:22:36.624Z,35
2021-01-01T04:29:31.634Z,34
2021-01-01T04:31:31.638Z,35
2021-01-01T04:31:46.637Z,34
2021-01-01T04:31:51.636Z,35
2021-01-01T04:33:36.702Z,34
2021-01-01T04:33:46.627Z,35
2021-01-01T04:33:51.647Z,34
2021-01-01T04:34:16.628Z,35
2021-01-01T04:41:46.63Z,34
2021-01-01T04:46:06.629Z,35
2021-01-01T04:46:11.633Z,34
2021-01-01T04:46:16.63Z,35
2021-01-01T04:46:21.674Z,34
2021-01-01T04:46:31.625Z,35
2021-01-01T04:46:36.676Z,34
2021-01-01T04:47:06.627Z,35
2021-01-01T04:47:11.631Z,34
2021-01-01T04:47:21.63Z,35
2021-01-01T04:58:16.633Z,34
2021-01-01T05:02:16.638Z,35
2021-01-01T05:02:21.626Z,34
2021-01-01T05:02:26.628Z,35
2021-01-01T05:03:06.626Z,34
2021-01-01T05:03:11.632Z,35
2021-01-01T05:03:16.638Z,34
2021-01-01T05:15:26.688Z,35
2021-01-01T05:15:31.629Z,34
2021-01-01T05:15:36.643Z,35
2021-01-01T05:17:06.643Z,34
2021-01-01T05:56:36.625Z,35
2021-01-01T05:57:56.627Z,34
2021-01-01T06:05:01.662Z,35
2021-01-01T06:05:06.667Z,34
2021-01-01T06:05:11.643Z,35
2021-01-01T06:07:36.628Z,34
2021-01-01T06:10:11.624Z,35
2021-01-01T06:13:21.629Z,34
2021-01-01T06:19:11.624Z,35
2021-01-01T06:19:21.625Z,34
2021-01-01T06:19:26.623Z,35
2021-01-01T06:23:56.623Z,34
2021-01-01T06:35:46.622Z,35
2021-01-01T06:36:46.625Z,34
2021-01-01T06:49:21.627Z,35
