time,value
2021-01-04T10:42:46.592Z,40.0
2021-01-04T10:43:04.893Z,39.9
2021-01-04T10:44:42.559Z,39.1
2021-01-04T16:14:08.73Z,34.3
2021-01-04T16:14:30.401Z,34.3
2021-01-04T16:18:07.316Z,33.6
2021-01-04T16:24:48.859Z,33.3
2021-01-04T23:20:11.212Z,32.5
2021-01-04T23:20:21.909Z,32.5
2021-01-05T03:57:48.899Z,38.3
2021-01-05T03:58:08.219Z,38.3
2021-01-05T04:08:17.217Z,37.9
2021-01-05T04:18:27.079Z,38.8
2021-01-05T04:28:36.697Z,38.3
2021-01-05T04:38:45.67Z,38.5
2021-01-05T04:40:01.622Z,39.1
2021-01-05T04:48:55.142Z,38.8
2021-01-05T04:59:05.284Z,39.0
2021-01-05T05:09:26.228Z,38.8
2021-01-05T05:19:35.633Z,39.3
2021-01-05T05:29:44.896Z,39.1
2021-01-05T05:39:55.335Z,39.6
2021-01-05T05:47:54.434Z,39.9
2021-01-05T05:50:05.168Z,40.0
2021-01-05T06:00:14.201Z,40.0
2021-01-05T06:10:24.3Z,39.7
2021-01-05T06:20:34.378Z,40.1
2021-01-05T06:30:44.492Z,39.4
2021-01-05T06:41:04.893Z,40.0
2021-01-05T06:51:25.912Z,40.0
2021-01-05T07:01:35.912Z,39.5
2021-01-05T07:11:36.028Z,39.7
2021-01-05T07:21:46.344Z,40.5
2021-01-05T07:31:54.696Z,39.9
2021-01-05T07:42:04.727Z,40.2
2021-01-05T07:52:03.573Z,40.7
2021-01-05T07:52:25.387Z,40.7
2021-01-05T08:02:25.978Z,40.4
2021-01-05T08:12:57.7Z,40.5
2021-01-05T08:23:07.616Z,40.3
2021-01-05T08:33:05.827Z,39.8
2021-01-05T08:33:27.611Z,39.8
2021-01-05T08:43:38.447Z,39.9
2021-01-05T08:53:48.664Z,40.2
2021-01-05T09:04:09.423Z,40.1
2021-01-05T09:14:41.503Z,40.2
2021-01-05T09:24:51.91Z,40.1
2021-01-05T09:35:24.716Z,40.4
2021-01-05T09:45:45.551Z,39.6
2021-01-05T09:56:05.878Z,39.6
2021-01-05T10:06:24.701Z,39.6
2021-01-05T10:16:44.675Z,39.4
2021-01-05T12:59:57.765Z,44.2
2021-01-05T13:00:08.798Z,44.3
2021-01-05T13:10:39.167Z,43.4
2021-01-05T13:14:48.642Z,43.3
2021-01-05T13:20:47.924Z,42.9
2021-01-05T14:38:30.063Z,48.5
2021-01-05T14:38:41.052Z,48.6
2021-01-05T14:41:35.283Z,49.5
2021-01-09T04:51:40.63Z,54.3
2021-01-09T04:51:51.415Z,54.3
2021-01-09T07:09:55.84Z,53.7
2021-01-09T07:10:25.26Z,53.2
2021-01-09T07:11:19.432Z,51.9
2021-01-09T07:12:24.918Z,50.7
2021-01-09T07:14:25.564Z,49.6
2021-01-09T07:18:58.857Z,48.6
2021-01-09T07:20:04.877Z,48.7
2021-01-09T07:25:52.835Z,47.6
2021-01-09T07:30:26.157Z,47.3
2021-01-09T07:31:20.48Z,46.6
2021-01-09T07:32:25.532Z,45.5
2021-01-09T07:33:41.916Z,44.5
2021-01-09T07:35:19.638Z,43.6
2021-01-09T07:36:14.326Z,42.7
2021-01-09T07:37:41.728Z,41.8
2021-01-09T07:41:08.681Z,41.1
2021-01-09T07:46:45.999Z,40.9
2021-01-09T07:51:17.911Z,40.9
2021-01-09T07:54:12.276Z,41.8
2021-01-09T07:57:17.973Z,42.7
2021-01-09T07:59:39.052Z,43.6
2021-01-09T08:01:27.908Z,44.2
2021-01-09T08:02:22.405Z,44.5
2021-01-09T08:05:17.118Z,45.4
2021-01-09T08:11:49.706Z,45.9
2021-01-09T08:17:27.402Z,46.4
2021-01-11T12:01:03.32Z,62.4
2021-01-11T12:03:25.987Z,62.4
2021-01-11T14:02:52.78Z,53.4
2021-01-11T14:03:15.497Z,53.4
2021-01-11T18:16:14.096Z,59.0
2021-01-11T18:16:25.046Z,58.8
2021-01-11T18:17:30.206Z,57.8
2021-01-11T18:18:57.423Z,56.5
2021-01-11T18:20:24.18Z,55.3
2021-01-11T18:21:51.075Z,54.1
2021-01-11T18:25:40.055Z,53.0
2021-01-11T18:26:45.36Z,52.8
