time,value
2022-01-01T03:31:01.193Z,42.1
2022-01-01T03:31:27.192Z,42.0
2022-01-01T03:35:20.238Z,43.0
2022-01-01T03:41:44.176Z,42.8
2022-01-01T03:51:54.703Z,42.9
2022-01-01T03:56:04.961Z,42.1
2022-01-01T04:02:47.957Z,41.7
2022-01-01T04:12:49.463Z,41.3
2022-01-01T04:13:43.988Z,41.2
2022-01-01T04:23:21.093Z,41.1
2022-01-01T04:33:40.14Z,41.4
2022-01-02T13:34:58.467Z,37.8
2022-01-02T13:35:27.921Z,37.8
2022-01-02T13:40:56.343Z,37.0
2022-01-02T13:45:41.317Z,36.7
2022-01-02T13:55:54.821Z,36.3
2022-01-02T13:56:49.514Z,36.2
2022-01-02T14:06:41.257Z,35.9
2022-01-02T14:16:43.661Z,35.6
2022-01-02T14:22:45.088Z,35.4
2022-01-03T11:51:05.667Z,40.3
2022-01-03T11:51:14.913Z,40.2
2022-01-03T12:01:29.148Z,39.8
2022-01-03T13:52:08.814Z,36.5
2022-01-03T13:52:38.158Z,36.5
2022-01-03T14:03:25.161Z,36.0
2022-01-04T01:37:24.874Z,40.9
2022-01-04T01:39:36.429Z,40.9
2022-01-04T01:44:43.854Z,41.8
2022-01-04T01:49:40.092Z,42.2
2022-01-04T01:51:51.493Z,42.7
2022-01-04T01:59:42.766Z,43.2
2022-01-04T02:55:24.449Z,46.9
2022-01-04T02:55:35.274Z,47.0
2022-01-04T03:05:38.782Z,46.0
2022-01-04T03:11:29.976Z,45.9
2022-01-04T03:15:53.422Z,45.8
2022-01-04T03:25:56.897Z,45.7
2022-01-04T03:27:46.729Z,44.9
2022-01-04T04:23:42.07Z,49.5
2022-01-04T04:23:53.221Z,49.5
2022-01-04T04:25:54.005Z,48.5
2022-01-04T04:27:21.89Z,47.5
2022-01-04T04:31:01.391Z,46.5
2022-01-04T04:33:56.837Z,46.6
2022-01-04T04:44:11.567Z,45.9
2022-01-04T04:50:24.706Z,47.5
2022-01-04T04:54:15.191Z,47.1
2022-01-04T05:54:01.84Z,51.7
2022-01-04T05:54:12.687Z,51.7
2022-01-04T05:59:41.884Z,50.6
2022-01-04T06:02:37.441Z,49.5
2022-01-04T06:04:16.313Z,49.0
2022-01-04T06:05:11.129Z,48.5
2022-01-04T06:07:00.864Z,47.5
2022-01-04T06:10:29.497Z,46.5
2022-01-04T06:16:31.368Z,46.1
2022-01-04T06:26:35.135Z,46.2
2022-01-04T07:27:43.963Z,49.1
2022-01-04T07:28:17.051Z,49.1
2022-01-05T06:28:36.942Z,50.8
2022-01-05T06:28:47.646Z,50.8
2022-01-05T08:57:18.168Z,47.9
2022-01-05T08:58:12.176Z,47.9
2022-01-05T09:09:31.23Z,47.9
2022-01-05T09:15:32.809Z,48.9
2022-01-05T09:19:34.006Z,49.6
2022-01-05T09:29:47.845Z,48.5
2022-01-05T09:36:11.24Z,47.9
2022-01-05T09:39:50.534Z,47.1
