time,value
2021-01-04T10:42:46.594Z,42.0
2021-01-04T10:43:04.893Z,41.9
2021-01-04T10:43:59.051Z,43.0
2021-01-04T16:14:08.731Z,32.3
2021-01-04T16:14:19.441Z,32.2
2021-01-04T16:24:59.813Z,31.9
2021-01-04T23:20:11.218Z,29.9
2021-01-04T23:20:21.91Z,30.0
2021-01-05T03:58:08.22Z,42.3
2021-01-05T03:58:19.25Z,42.3
2021-01-05T04:06:17.663Z,5.2
2021-01-05T04:06:28.485Z,42.3
2021-01-05T04:08:49.918Z,41.9
2021-01-05T04:19:00.004Z,42.7
2021-01-05T04:25:42.592Z,15.4
2021-01-05T04:25:53.788Z,42.5
2021-01-05T04:29:09.313Z,42.3
2021-01-05T04:37:29.736Z,15.2
2021-01-05T04:37:40.552Z,42.4
2021-01-05T04:39:18.296Z,43.1
2021-01-05T04:39:29.04Z,43.3
2021-01-05T04:49:27.759Z,43.4
2021-01-05T04:59:48.861Z,43.1
2021-01-05T05:10:09.72Z,43.1
2021-01-05T05:20:30.369Z,43.5
2021-01-05T05:30:39.178Z,43.1
2021-01-05T05:38:28.207Z,44.2
2021-01-05T05:40:49.487Z,43.9
2021-01-05T05:50:59.53Z,44.4
2021-01-05T06:01:08.494Z,44.9
2021-01-05T06:11:18.676Z,44.3
2021-01-05T06:21:28.633Z,44.5
2021-01-05T06:31:38.529Z,44.3
2021-01-05T06:36:54.49Z,45.1
2021-01-05T06:41:48.482Z,44.7
2021-01-05T06:51:58.276Z,44.6
2021-01-05T06:57:03.164Z,34.0
2021-01-05T06:57:14.155Z,44.6
2021-01-05T07:02:08.521Z,43.9
2021-01-05T07:12:19.594Z,44.6
2021-01-05T07:22:29.824Z,45.2
2021-01-05T07:32:38.084Z,45.0
2021-01-05T07:42:59.453Z,44.8
2021-01-05T07:53:09.326Z,45.2
2021-01-05T08:03:09.401Z,44.9
2021-01-05T08:07:42.471Z,45.5
2021-01-05T08:13:19.476Z,45.3
2021-01-05T08:23:51.059Z,45.2
