time,value
2021-01-04T10:42:46.594Z,15.5
2021-01-04T10:43:04.893Z,15.5
2021-01-04T16:14:08.731Z,12.4
2021-01-04T16:14:30.401Z,12.4
2021-01-04T16:24:59.812Z,12.4
2021-01-04T23:20:11.218Z,12.2
2021-01-05T03:58:08.219Z,14.2
2021-01-05T03:58:41.325Z,14.1
2021-01-05T04:08:49.918Z,14.0
2021-01-05T04:19:10.908Z,14.3
2021-01-05T04:29:41.856Z,14.2
2021-01-05T04:39:50.692Z,14.4
2021-01-05T04:40:12.371Z,14.5
2021-01-05T04:50:11.613Z,14.5
2021-01-05T05:01:26.805Z,14.6
2021-01-05T05:11:47.855Z,14.6
2021-01-05T05:17:36.084Z,14.8
2021-01-05T05:22:40.902Z,14.8
2021-01-05T05:32:49.735Z,14.8
2021-01-05T05:38:06.433Z,15.1
2021-01-05T05:43:54.634Z,15.0
2021-01-05T05:54:36.931Z,15.2
2021-01-05T06:01:19.48Z,15.5
2021-01-05T06:04:46.08Z,15.3
2021-01-05T06:15:18.432Z,15.2
2021-01-05T06:25:49.907Z,15.5
2021-01-05T06:35:59.925Z,15.4
2021-01-05T06:46:09.451Z,15.6
2021-01-05T06:57:24.828Z,15.8
2021-01-05T07:07:25.036Z,15.5
2021-01-05T07:17:35.591Z,15.6
2021-01-05T07:21:46.345Z,15.9
2021-01-05T07:28:17.392Z,15.9
2021-01-05T07:38:26.776Z,15.9
2021-01-05T07:49:31.401Z,15.9
2021-01-05T07:59:53.004Z,16.1
2021-01-05T08:10:14.523Z,16.0
2021-01-05T08:19:40.663Z,16.3
2021-01-05T08:20:24.089Z,16.2
2021-01-05T08:31:38.818Z,16.1
2021-01-05T08:41:49.205Z,16.1
2021-01-05T08:52:54.271Z,16.1
2021-01-05T09:03:03.991Z,16.2
2021-01-05T09:13:14.382Z,16.0
2021-01-05T09:23:24.496Z,16.2
2021-01-05T09:33:25.376Z,16.0
2021-01-05T09:41:45.828Z,15.9
2021-01-05T09:43:34.787Z,15.9
2021-01-05T09:53:55.379Z,15.7
2021-01-05T10:04:46.854Z,15.7
2021-01-05T10:12:23.745Z,15.5
2021-01-05T10:15:28.377Z,15.5
2021-01-05T12:59:57.766Z,13.2
2021-01-05T13:00:30.584Z,13.2
2021-01-05T13:11:44.357Z,13.1
2021-01-05T13:21:53.174Z,13.1
2021-01-05T14:38:30.064Z,13.0
2021-01-09T04:51:40.631Z,22.5
2021-01-09T04:51:51.415Z,22.4
2021-01-09T07:09:55.848Z,21.7
2021-01-09T07:10:14.167Z,21.6
2021-01-09T07:13:41.679Z,21.2
2021-01-09T07:20:26.51Z,20.8
2021-01-09T07:22:47.697Z,20.7
2021-01-09T07:29:20.638Z,20.2
2021-01-09T07:30:47.967Z,19.9
2021-01-09T07:33:09.118Z,19.7
2021-01-09T07:35:08.973Z,19.3
2021-01-09T07:36:14.326Z,18.9
2021-01-09T07:37:52.422Z,18.5
2021-01-09T07:40:57.913Z,18.5
2021-01-09T07:46:24.322Z,18.1
2021-01-09T07:51:07.208Z,18.1
2021-01-09T07:53:17.901Z,18.5
2021-01-09T07:57:39.678Z,18.9
2021-01-09T08:01:17.166Z,19.2
2021-01-09T08:12:00.486Z,18.7
2021-01-11T12:01:03.321Z,21.2
2021-01-11T12:01:36.86Z,21.2
2021-01-11T14:02:52.781Z,20.3
2021-01-11T14:03:04.549Z,20.2
2021-01-11T18:16:14.097Z,16.4
