time,value
2021-01-01T00:04:55.964Z,39.9
2021-01-01T00:15:00.725Z,40.4
2021-01-01T00:25:26.311Z,39.9
2021-01-01T00:35:36.306Z,39.9
2021-01-01T00:45:51.453Z,39.9
2021-01-01T00:56:06.584Z,39.9
2021-01-01T01:06:53.029Z,39.9
2021-01-01T01:10:05.896Z,40.9
2021-01-01T01:10:16.317Z,39.9
2021-01-01T01:12:37.068Z,40.9
2021-01-01T01:16:47.292Z,39.9
2021-01-01T01:17:44.638Z,39.9
2021-01-01T01:28:04.997Z,39.9
2021-01-01T01:38:35.767Z,39.9
2021-01-01T01:49:32.672Z,39.9
2021-01-01T01:59:47.813Z,39.9
2021-01-01T02:09:52.694Z,39.9
2021-01-01T02:20:02.58Z,39.9
2021-01-01T02:30:12.54Z,39.9
2021-01-01T02:40:58.956Z,39.9
2021-01-01T02:51:03.721Z,39.9
2021-01-01T03:01:08.453Z,39.9
2021-01-01T03:11:23.579Z,39.9
2021-01-01T03:21:38.73Z,39.9
2021-01-01T03:31:48.693Z,39.9
2021-01-01T03:42:19.521Z,39.9
2021-01-01T03:52:45.104Z,39.9
2021-01-01T04:03:36.864Z,39.9
2021-01-01T04:13:41.585Z,39.9
2021-01-01T04:24:48.885Z,39.9
2021-01-01T04:35:09.254Z,39.9
2021-01-01T04:45:19.245Z,39.9
2021-01-01T04:55:29.202Z,39.9
2021-01-01T04:56:05.723Z,40.9
2021-01-01T04:56:47.397Z,39.9
2021-01-01T05:05:33.951Z,39.9
2021-01-01T05:16:10.017Z,39.9
2021-01-01T05:26:14.777Z,40.4
2021-01-01T05:36:29.944Z,40.4
2021-01-01T05:46:45.143Z,39.9
2021-01-01T05:56:49.81Z,40.4
2021-01-01T06:07:10.168Z,39.9
2021-01-01T06:17:41.036Z,39.9
2021-01-01T06:27:56.158Z,39.9
2021-01-01T06:38:16.563Z,39.9
2021-01-01T06:48:31.73Z,39.9
2021-01-01T06:58:36.49Z,39.9
2021-01-01T07:08:41.184Z,40.4
2021-01-01T07:18:45.905Z,40.4
2021-01-01T07:28:50.736Z,39.9
2021-01-01T07:29:32.463Z,40.9
2021-01-01T07:29:37.674Z,39.9
2021-01-01T07:38:55.457Z,39.9
2021-01-01T07:49:00.166Z,39.9
2021-01-01T07:59:57.036Z,39.9
2021-01-01T08:10:01.776Z,40.4
2021-01-01T08:20:06.519Z,40.4
2021-01-01T08:30:47.797Z,39.9
2021-01-01T08:40:52.591Z,40.4
2021-01-01T08:51:07.752Z,39.9
2021-01-01T09:01:33.342Z,39.9
2021-01-01T09:12:14.611Z,39.9
2021-01-01T09:22:19.377Z,39.9
2021-01-01T09:33:05.85Z,39.9
2021-01-01T09:43:36.634Z,39.9
2021-01-01T09:54:28.32Z,39.9
2021-01-01T10:05:14.783Z,39.9
2021-01-01T10:08:27.674Z,40.9
2021-01-01T10:08:48.524Z,39.9
2021-01-01T10:15:19.518Z,39.9
2021-01-01T10:25:45.138Z,39.9
2021-01-01T10:35:49.879Z,40.4
2021-01-01T10:45:59.884Z,39.9
2021-01-01T10:56:04.623Z,40.4
2021-01-01T11:06:09.303Z,39.9
2021-01-01T11:17:53.141Z,39.9
2021-01-01T11:28:23.959Z,39.9
2021-01-01T11:38:28.756Z,40.4
2021-01-01T11:48:49.094Z,39.9
2021-01-01T11:59:09.465Z,39.9
2021-01-01T12:09:24.67Z,39.9
2021-01-01T12:19:50.274Z,39.9
2021-01-01T12:30:00.228Z,39.9
2021-01-01T12:40:10.15Z,39.9
2021-01-01T12:51:12.239Z,39.9
2021-01-01T13:02:03.934Z,39.9
2021-01-01T13:12:08.667Z,39.9
2021-01-01T13:22:13.385Z,40.4
2021-01-01T13:32:23.312Z,39.9
2021-01-01T13:42:28.1Z,39.9
2021-01-01T13:52:32.833Z,39.9
2021-01-01T14:02:37.582Z,40.4
2021-01-01T14:13:08.354Z,39.9
2021-01-01T14:23:18.317Z,39.9
2021-01-01T14:33:23.091Z,39.9
2021-01-01T14:43:48.677Z,39.9
2021-01-01T14:53:53.455Z,40.4
2021-01-01T15:05:21.56Z,39.9
2021-01-01T15:15:52.375Z,39.9
2021-01-01T15:26:07.672Z,39.9
2021-01-01T15:36:17.735Z,39.9
2021-01-01T15:46:32.892Z,39.9
2021-01-01T15:56:42.8Z,39.9
2021-01-01T16:07:08.436Z,39.9
2021-01-01T16:17:54.821Z,39.9
2021-01-01T16:28:41.252Z,39.9
2021-01-01T16:39:01.633Z,39.9
2021-01-01T16:49:27.246Z,39.9
2021-01-01T17:01:11.015Z,39.9
2021-01-01T17:11:15.767Z,40.4
2021-01-01T17:21:56.954Z,39.9
2021-01-01T17:32:12.159Z,39.9
2021-01-01T17:42:27.316Z,39.9
2021-01-01T17:52:32.09Z,40.4
2021-01-01T18:02:52.417Z,39.9
2021-01-01T18:13:02.318Z,39.9
2021-01-01T18:24:04.449Z,39.9
2021-01-01T18:34:14.37Z,39.9
2021-01-01T18:44:19.07Z,40.4
2021-01-01T18:54:23.79Z,39.9
2021-01-01T19:04:54.657Z,39.9
2021-01-01T19:14:59.362Z,40.4
2021-01-01T19:25:04.104Z,40.4
2021-01-01T19:35:08.872Z,40.4
2021-01-01T19:45:13.601Z,39.9
2021-01-01T19:55:18.378Z,40.4
2021-01-01T20:05:28.304Z,40.9
2021-01-01T20:05:33.52Z,40.4
2021-01-01T20:05:38.726Z,39.9
2021-01-01T20:15:43.501Z,39.9
2021-01-01T20:26:24.68Z,39.9
2021-01-01T20:36:29.392Z,40.4
2021-01-01T20:46:34.252Z,40.4
2021-01-01T20:56:38.972Z,40.4
2021-01-01T21:06:43.732Z,40.4
2021-01-01T21:16:48.449Z,40.4
2021-01-01T21:27:29.741Z,39.9
2021-01-01T21:38:21.39Z,39.9
2021-01-01T21:49:13.071Z,39.9
2021-01-01T21:59:38.631Z,39.9
2021-01-01T22:11:15.333Z,39.9
2021-01-01T22:22:55.771Z,39.9
2021-01-01T22:33:21.424Z,39.9
2021-01-01T22:43:26.147Z,39.9
2021-01-01T22:53:30.844Z,40.4
2021-01-01T23:03:40.794Z,39.9
2021-01-01T23:14:11.586Z,39.9
2021-01-01T23:26:31.811Z,39.9
2021-01-01T23:37:07.888Z,39.9
2021-01-01T23:47:12.662Z,40.4
2021-01-01T23:57:17.38Z,40.4
2021-01-02T00:07:32.555Z,39.9
2021-01-02T00:17:52.988Z,39.9
2021-01-02T00:27:57.666Z,40.4
2021-01-02T00:38:07.602Z,39.9
2021-01-02T00:48:12.343Z,40.4
2021-01-02T00:58:27.471Z,39.9
2021-01-02T01:08:37.417Z,39.9
2021-01-02T01:18:42.096Z,40.4
2021-01-02T01:29:38.949Z,39.9
2021-01-02T01:40:09.891Z,39.9
2021-01-02T01:50:14.616Z,39.9
2021-01-02T02:00:19.317Z,39.9
2021-01-02T02:11:10.99Z,39.9
2021-01-02T02:21:15.723Z,39.9
2021-01-02T02:31:36.154Z,39.9
2021-01-02T02:41:40.887Z,40.4
2021-01-02T02:51:45.612Z,40.4
2021-01-02T03:01:50.37Z,39.9
2021-01-02T03:11:55.081Z,40.4
2021-01-02T03:22:57.156Z,39.9
2021-01-02T03:33:22.726Z,39.9
2021-01-02T03:43:58.796Z,39.9
2021-01-02T03:54:03.549Z,40.4
2021-01-02T04:04:13.577Z,39.9
2021-01-02T04:14:18.311Z,39.9
2021-01-02T04:24:43.89Z,39.9
2021-01-02T04:34:53.867Z,39.9
