time,value
2022-01-01T00:33:22.717Z,39
2022-01-01T00:33:27.715Z,38
2022-01-01T00:33:37.721Z,39
2022-01-01T00:33:42.7Z,38
2022-01-01T00:33:52.695Z,39
2022-01-01T00:34:12.685Z,38
2022-01-01T00:34:17.674Z,39
2022-01-01T00:35:47.581Z,38
2022-01-01T00:35:52.581Z,39
2022-01-01T00:36:02.571Z,38
2022-01-01T00:36:07.555Z,39
2022-01-01T00:36:12.555Z,38
2022-01-01T00:36:22.541Z,39
2022-01-01T00:36:32.568Z,38
2022-01-01T00:36:47.516Z,39
2022-01-01T00:37:02.614Z,38
2022-01-01T00:37:12.556Z,39
2022-01-01T00:37:17.497Z,38
2022-01-01T00:37:47.481Z,39
2022-01-01T00:37:57.457Z,38
2022-01-01T00:38:07.441Z,39
2022-01-01T00:38:17.43Z,38
2022-01-01T01:14:50.28Z,39
2022-01-01T01:14:55.322Z,38
2022-01-01T02:08:12.129Z,39
2022-01-01T02:08:17.127Z,38
2022-01-01T03:30:54.623Z,38
2022-01-01T03:38:58.002Z,39
2022-01-01T03:39:02.997Z,38
2022-01-01T04:01:21.676Z,39
2022-01-01T04:01:26.674Z,38
2022-01-01T04:11:21.092Z,39
2022-01-01T04:11:26.091Z,38
2022-01-01T05:12:17.503Z,39
2022-01-01T05:12:22.512Z,38
2022-01-01T05:18:22.198Z,39
2022-01-01T05:18:27.161Z,38
2022-01-01T05:28:16.616Z,39
2022-01-01T05:28:21.56Z,38
2022-01-01T05:38:55.923Z,39
2022-01-01T05:39:00.913Z,38
2022-01-01T05:48:45.339Z,39
2022-01-01T05:48:50.338Z,38
2022-01-01T05:53:05.081Z,39
2022-01-01T05:53:10.079Z,38
2022-01-01T05:56:44.867Z,39
2022-01-01T05:56:49.861Z,38
2022-01-01T06:19:08.566Z,39
2022-01-01T06:19:13.538Z,38
2022-01-01T06:22:53.322Z,39
2022-01-01T06:22:58.317Z,38
2022-01-01T06:57:36.284Z,39
2022-01-01T06:57:41.281Z,38
2022-01-01T07:11:10.525Z,39
2022-01-01T07:11:15.496Z,38
2022-01-01T07:14:40.294Z,39
2022-01-01T07:14:50.266Z,38
2022-01-01T07:24:39.721Z,39
2022-01-01T07:24:44.688Z,38
2022-01-01T07:31:49.273Z,39
2022-01-01T07:31:54.295Z,38
2022-01-01T07:32:44.27Z,39
2022-01-01T07:32:49.272Z,38
2022-01-01T08:27:21.027Z,39
2022-01-01T08:27:26.019Z,38
2022-01-01T08:43:40.082Z,39
2022-01-01T08:43:45.045Z,38
2022-01-01T09:16:43.085Z,39
2022-01-01T09:16:48.063Z,38
2022-01-01T09:18:33.003Z,39
2022-01-01T09:18:37.976Z,38
2022-01-01T09:30:07.286Z,39
2022-01-01T09:30:22.316Z,38
2022-01-01T09:32:02.174Z,39
2022-01-01T09:32:07.165Z,38
2022-01-01T09:33:47.093Z,39
2022-01-01T09:33:52.12Z,38
2022-01-01T09:48:06.261Z,39
2022-01-01T09:48:16.491Z,38
2022-01-01T09:49:06.196Z,39
2022-01-01T09:49:16.228Z,38
2022-01-01T09:50:56.107Z,39
2022-01-01T09:51:01.114Z,38
2022-01-01T09:51:51.032Z,39
2022-01-01T09:51:56.011Z,38
2022-01-01T09:55:15.886Z,39
2022-01-01T09:55:20.817Z,38
2022-01-01T10:01:40.411Z,39
2022-01-01T10:01:45.413Z,38
2022-01-01T10:17:44.464Z,39
2022-01-01T10:17:49.515Z,38
2022-01-01T10:22:54.199Z,39
2022-01-01T10:22:59.201Z,38
2022-01-01T10:23:09.214Z,39
2022-01-01T10:23:14.165Z,38
2022-01-01T10:48:12.722Z,39
2022-01-01T10:48:17.696Z,38
2022-01-01T10:57:12.151Z,39
2022-01-01T10:57:17.136Z,38
2022-01-01T11:15:51.098Z,39
2022-01-01T11:15:56.089Z,38
2022-01-01T11:19:20.848Z,39
2022-01-01T11:19:25.827Z,38
2022-01-01T11:19:35.818Z,39
2022-01-01T11:19:40.815Z,38
2022-01-01T11:21:15.719Z,39
2022-01-01T11:21:20.725Z,38
2022-01-01T12:12:12.781Z,39
2022-01-01T12:12:17.782Z,38
2022-01-01T12:23:47.083Z,39
2022-01-01T12:23:52.085Z,38
2022-01-01T12:27:31.87Z,39
2022-01-01T12:27:36.826Z,38
2022-01-01T12:34:41.427Z,39
2022-01-01T12:34:46.458Z,38
2022-01-01T12:45:30.809Z,39
2022-01-01T12:45:35.882Z,38
2022-01-01T13:17:03.926Z,39
2022-01-01T13:17:08.909Z,38
2022-01-01T13:17:43.919Z,39
2022-01-01T13:17:48.92Z,38
2022-01-01T13:17:58.825Z,39
2022-01-01T13:18:03.823Z,38
2022-01-01T13:50:02.041Z,39
2022-01-01T13:50:07.059Z,38
2022-01-01T14:11:35.753Z,39
2022-01-01T14:11:40.796Z,38
2022-01-01T14:33:04.479Z,39
2022-01-01T14:33:09.441Z,38
2022-01-01T14:44:33.794Z,39
2022-01-01T14:44:38.798Z,38
2022-01-01T15:25:51.329Z,39
2022-01-01T15:25:56.332Z,38
2022-01-01T15:27:46.278Z,39
2022-01-01T15:27:51.211Z,38
2022-01-01T16:50:16.409Z,39
2022-01-01T16:50:21.347Z,38
2022-01-01T17:15:14.843Z,39
2022-01-01T17:15:19.84Z,38
2022-01-01T17:29:34.042Z,39
2022-01-01T17:29:39.078Z,38
2022-01-01T17:34:13.807Z,39
2022-01-01T17:34:18.725Z,38
2022-01-01T17:43:08.282Z,39
2022-01-01T17:43:13.223Z,38
2022-01-01T18:19:51.059Z,39
2022-01-01T18:19:56.063Z,38
2022-01-01T19:11:33.063Z,39
2022-01-01T19:11:38.027Z,38
2022-01-01T19:12:28.06Z,39
2022-01-01T19:12:32.932Z,38
2022-01-01T19:34:01.669Z,39
2022-01-01T19:34:06.663Z,38
2022-01-01T19:43:06.17Z,39
2022-01-01T19:43:11.149Z,38
2022-01-01T20:02:45.006Z,39
2022-01-01T20:02:49.992Z,38
2022-01-01T20:08:59.637Z,39
2022-01-01T20:09:04.639Z,38
2022-01-01T20:19:44.012Z,39
2022-01-01T20:19:49.013Z,38
2022-01-01T21:57:33.215Z,39
2022-01-01T21:57:38.21Z,38
2022-01-01T22:28:11.433Z,39
2022-01-01T22:28:16.439Z,38
2022-01-01T23:15:28.73Z,39
2022-01-01T23:15:33.632Z,38
2022-01-01T23:21:58.255Z,39
2022-01-01T23:22:03.313Z,38
2022-01-01T23:32:37.615Z,39
2022-01-01T23:32:42.62Z,38
2022-01-02T00:56:47.679Z,39
2022-01-02T00:56:52.679Z,38
2022-01-02T01:02:17.408Z,39
2022-01-02T01:02:22.373Z,38
2022-01-02T01:51:34.512Z,39
2022-01-02T01:51:39.484Z,38
2022-01-02T01:52:29.405Z,39
2022-01-02T01:52:34.402Z,38
2022-01-02T03:23:09.177Z,39
2022-01-02T03:23:14.112Z,38
2022-01-02T03:50:17.58Z,39
2022-01-02T03:50:22.546Z,38
2022-01-02T04:13:31.148Z,39
2022-01-02T04:13:36.14Z,38
2022-01-02T05:13:37.629Z,39
2022-01-02T05:13:42.602Z,38
2022-01-02T05:27:51.81Z,39
2022-01-02T05:27:56.843Z,38
2022-01-02T05:28:01.773Z,39
2022-01-02T05:28:06.766Z,38
2022-01-02T06:14:29.04Z,39
2022-01-02T06:14:34.015Z,38
2022-01-02T06:32:27.954Z,39
2022-01-02T06:32:32.959Z,38
2022-01-02T06:53:41.715Z,39
2022-01-02T06:53:51.705Z,38
2022-01-02T06:57:21.536Z,39
2022-01-02T06:57:26.574Z,38
2022-01-02T07:52:53.236Z,39
2022-01-02T07:52:58.232Z,38
2022-01-02T07:57:23.041Z,39
2022-01-02T07:57:27.996Z,38
2022-01-02T09:05:19.02Z,39
2022-01-02T09:05:23.995Z,38
2022-01-02T09:10:38.662Z,39
2022-01-02T09:10:43.656Z,38
2022-01-02T09:16:18.406Z,39
2022-01-02T09:16:23.345Z,38
2022-01-02T09:23:22.977Z,39
2022-01-02T09:23:27.977Z,38
2022-01-02T09:28:42.636Z,39
2022-01-02T09:28:47.674Z,38
2022-01-02T09:31:12.455Z,39
2022-01-02T09:31:17.45Z,38
2022-01-02T10:27:54.115Z,39
2022-01-02T10:27:59.146Z,38
2022-01-02T10:28:54.047Z,39
2022-01-02T10:28:59.072Z,38
2022-01-02T10:30:28.982Z,39
2022-01-02T10:30:33.945Z,38
2022-01-02T10:50:17.777Z,39
2022-01-02T10:50:22.776Z,38
2022-01-02T11:07:11.792Z,39
2022-01-02T11:07:16.842Z,38
2022-01-02T11:24:20.798Z,39
2022-01-02T11:24:25.805Z,38
2022-01-02T11:35:00.23Z,39
2022-01-02T11:35:05.177Z,38
2022-01-02T11:35:15.163Z,39
2022-01-02T11:35:20.17Z,38
2022-01-02T12:10:03.088Z,39
2022-01-02T12:10:08.082Z,38
2022-01-02T12:25:07.233Z,39
2022-01-02T12:25:12.205Z,38
2022-01-02T12:37:51.484Z,39
2022-01-02T12:37:56.469Z,38
2022-01-02T13:11:59.461Z,39
2022-01-02T13:12:04.456Z,38
2022-01-02T13:14:34.315Z,39
2022-01-02T13:14:39.365Z,38
2022-01-02T13:36:08.084Z,39
2022-01-02T13:36:13.134Z,38
2022-01-02T15:59:49.609Z,39
2022-01-02T15:59:54.607Z,38
2022-01-02T17:17:45.028Z,39
2022-01-02T17:17:50.048Z,38
2022-01-02T17:28:29.42Z,39
2022-01-02T17:28:34.388Z,38
2022-01-02T18:03:37.309Z,39
2022-01-02T18:03:42.306Z,38
2022-01-02T18:08:02.062Z,39
2022-01-02T18:08:07.08Z,38
2022-01-02T18:11:36.888Z,39
2022-01-02T18:11:41.864Z,38
2022-01-02T19:41:06.605Z,39
2022-01-02T19:41:11.615Z,38
2022-01-02T20:54:27.398Z,39
2022-01-02T20:54:32.352Z,38
2022-01-02T20:56:57.192Z,39
2022-01-02T20:57:02.218Z,38
2022-01-02T21:04:01.828Z,39
2022-01-02T21:04:06.808Z,38
2022-01-02T21:47:09.295Z,39
2022-01-02T21:47:14.292Z,38
2022-01-02T21:57:28.673Z,39
2022-01-02T21:57:33.645Z,38
2022-01-02T22:16:22.537Z,39
2022-01-02T22:16:27.548Z,38
2022-01-02T22:23:42.084Z,39
2022-01-02T22:23:47.123Z,38
2022-01-02T22:29:56.743Z,39
2022-01-02T22:30:01.788Z,38
2022-01-02T22:57:40.119Z,39
2022-01-02T22:57:45.095Z,38
2022-01-02T23:23:38.596Z,39
2022-01-02T23:23:43.589Z,38
2022-01-03T00:55:18.211Z,39
2022-01-03T00:55:23.214Z,38
2022-01-03T01:22:01.642Z,39
2022-01-03T01:22:06.58Z,38
2022-01-03T02:45:36.677Z,39
2022-01-03T02:45:41.669Z,38
2022-01-03T03:14:05Z,39
2022-01-03T03:14:10.05Z,38
2022-01-03T05:19:57.573Z,39
2022-01-03T05:20:02.563Z,38
2022-01-03T05:39:36.415Z,39
2022-01-03T05:39:41.423Z,38
2022-01-03T06:03:45.039Z,39
2022-01-03T06:03:50.069Z,38
2022-01-03T06:26:03.705Z,39
2022-01-03T06:26:08.757Z,38
2022-01-03T06:34:58.159Z,39
2022-01-03T06:35:03.231Z,38
2022-01-03T09:05:39.405Z,39
2022-01-03T09:05:44.295Z,38
2022-01-03T09:10:09.099Z,39
2022-01-03T09:10:14.04Z,38
2022-01-03T09:25:13.163Z,39
2022-01-03T09:25:18.181Z,38
2022-01-03T09:52:56.542Z,39
2022-01-03T09:53:01.535Z,38
2022-01-03T10:11:25.452Z,39
2022-01-03T10:11:30.421Z,38
2022-01-03T10:47:43.316Z,39
2022-01-03T10:47:48.327Z,38
2022-01-03T11:15:56.699Z,39
2022-01-03T11:16:01.661Z,38
2022-01-03T11:32:15.731Z,39
2022-01-03T11:32:20.702Z,38
2022-01-03T12:23:22.656Z,39
2022-01-03T12:23:27.644Z,38
2022-01-03T13:28:43.813Z,39
2022-01-03T13:28:48.8Z,38
2022-01-03T13:53:07.402Z,39
2022-01-03T13:53:12.39Z,38
2022-01-03T13:53:47.323Z,39
2022-01-03T13:53:52.325Z,38
2022-01-03T14:13:31.163Z,39
2022-01-03T14:13:36.155Z,38
2022-01-03T20:07:50.322Z,39
2022-01-03T20:07:55.314Z,38
2022-01-03T20:56:07.525Z,39
2022-01-03T20:56:12.554Z,38
2022-01-04T02:26:48.037Z,39
2022-01-04T02:26:53.032Z,38
2022-01-04T05:20:37.812Z,39
2022-01-04T05:20:42.819Z,38
2022-01-04T05:22:27.702Z,39
2022-01-04T05:22:32.694Z,38
2022-01-04T06:00:00.494Z,39
2022-01-04T06:00:05.489Z,38
2022-01-04T06:56:27.191Z,39
2022-01-04T06:56:32.19Z,38
2022-01-04T07:18:00.92Z,39
2022-01-04T07:18:05.909Z,38
2022-01-04T08:09:48.023Z,39
2022-01-04T08:09:52.956Z,38
2022-01-04T08:32:16.54Z,39
2022-01-04T08:32:21.529Z,38
2022-01-04T09:26:23.395Z,39
2022-01-04T09:26:28.373Z,38
2022-01-04T09:34:02.891Z,39
2022-01-04T09:34:07.883Z,38
2022-01-04T09:47:52.279Z,39
2022-01-04T09:47:57.136Z,38
2022-01-04T10:00:11.374Z,39
2022-01-04T10:00:16.407Z,38
2022-01-04T10:13:35.555Z,39
2022-01-04T10:13:40.558Z,38
2022-01-04T11:08:12.424Z,39
2022-01-04T11:08:17.373Z,38
2022-01-04T11:15:31.921Z,39
2022-01-04T11:15:36.958Z,38
2022-01-04T11:55:49.623Z,39
2022-01-04T11:55:54.557Z,38
2022-01-04T12:19:23.172Z,39
2022-01-04T12:19:28.158Z,38
2022-01-04T13:37:13.581Z,39
2022-01-04T13:37:18.578Z,38
2022-01-04T14:27:20.69Z,39
2022-01-04T14:27:25.639Z,38
2022-01-04T14:41:44.797Z,39
2022-01-04T14:41:49.793Z,38
2022-01-04T15:07:48.258Z,39
2022-01-04T15:07:53.263Z,38
2022-01-04T15:47:00.938Z,39
2022-01-04T15:47:05.959Z,38
2022-01-04T17:35:39.54Z,39
2022-01-04T17:35:44.541Z,38
2022-01-04T18:43:05.571Z,39
2022-01-04T18:43:10.565Z,38
2022-01-04T20:07:25.606Z,39
2022-01-04T20:07:30.604Z,38
2022-01-04T20:11:15.376Z,39
2022-01-04T20:11:20.375Z,38
2022-01-04T21:55:59.204Z,39
2022-01-04T21:56:04.2Z,38
2022-01-04T22:33:32.013Z,39
2022-01-04T22:33:37.018Z,38
2022-01-04T23:45:27.767Z,39
2022-01-04T23:45:32.771Z,38
2022-01-05T01:12:27.648Z,39
2022-01-05T01:12:32.641Z,38
2022-01-05T03:35:44.226Z,39
2022-01-05T03:35:49.22Z,38
2022-01-05T04:13:12.028Z,39
2022-01-05T04:13:17.022Z,38
2022-01-05T04:33:55.806Z,39
2022-01-05T04:34:00.794Z,38
2022-01-05T04:49:14.904Z,39
2022-01-05T04:49:19.894Z,38
2022-01-05T04:51:54.769Z,39
2022-01-05T04:51:59.74Z,38
2022-01-05T04:54:34.602Z,39
2022-01-05T04:54:39.598Z,38
2022-01-05T04:58:14.37Z,39
2022-01-05T04:58:19.364Z,38
2022-01-05T05:00:54.213Z,39
2022-01-05T05:00:59.229Z,38
2022-01-05T05:09:53.685Z,39
2022-01-05T05:09:58.682Z,38
2022-01-05T05:15:13.371Z,39
2022-01-05T05:15:18.372Z,38
2022-01-05T05:16:13.319Z,39
2022-01-05T05:16:23.302Z,38
2022-01-05T05:21:32.998Z,39
2022-01-05T05:21:37.993Z,38
2022-01-05T05:25:07.788Z,39
2022-01-05T05:25:12.781Z,38
2022-01-05T05:26:07.749Z,39
2022-01-05T05:26:12.722Z,38
2022-01-05T05:30:32.467Z,39
2022-01-05T05:30:37.461Z,38
2022-01-05T05:30:42.461Z,39
2022-01-05T05:30:47.472Z,38
2022-01-05T05:56:40.934Z,39
2022-01-05T05:56:45.932Z,38
2022-01-05T06:37:13.577Z,39
2022-01-05T06:37:18.551Z,38
2022-01-05T07:12:06.513Z,39
2022-01-05T07:12:16.504Z,38
2022-01-05T07:35:20.139Z,39
2022-01-05T07:35:25.144Z,38
2022-01-05T08:02:18.576Z,39
2022-01-05T08:02:23.574Z,38
2022-01-05T08:23:02.332Z,39
2022-01-05T08:23:07.326Z,38
2022-01-05T08:36:36.528Z,39
2022-01-05T08:36:41.533Z,38
2022-01-05T08:52:50.573Z,39
2022-01-05T08:52:55.567Z,38
2022-01-05T09:30:13.377Z,39
2022-01-05T09:30:18.399Z,38
2022-01-05T09:43:37.585Z,39
2022-01-05T09:43:42.591Z,38
2022-01-05T10:15:20.738Z,39
2022-01-05T10:15:25.71Z,38
2022-01-05T11:04:37.826Z,39
2022-01-05T11:04:42.844Z,38
2022-01-05T11:20:46.884Z,39
2022-01-05T11:20:51.875Z,38
2022-01-05T11:25:11.623Z,39
2022-01-05T11:25:16.613Z,38
2022-01-05T11:42:10.619Z,39
2022-01-05T11:42:15.612Z,38
2022-01-05T11:42:20.611Z,39
2022-01-05T11:42:25.603Z,38
2022-01-05T11:57:29.718Z,39
2022-01-05T11:57:34.708Z,38
2022-01-05T12:30:32.776Z,39
2022-01-05T12:30:42.763Z,38
2022-01-05T12:32:22.666Z,39
2022-01-05T12:32:27.658Z,38
2022-01-05T12:50:16.613Z,39
2022-01-05T12:50:21.605Z,38
