time,value
2021-01-01T05:38:50.691Z,37
2021-01-01T05:38:55.902Z,38
2021-01-01T07:09:43.741Z,37
2021-01-01T07:09:48.952Z,38
2021-01-01T19:43:29.325Z,37
2021-01-01T19:43:34.559Z,38
2021-01-02T04:33:09.584Z,37
2021-01-02T04:33:14.795Z,38
2021-01-04T03:25:34.266Z,37
2021-01-04T03:25:39.484Z,38
2021-01-05T01:01:41.635Z,38
2021-01-05T05:50:00.68Z,37
2021-01-05T05:50:05.898Z,38
2021-01-05T10:15:47.069Z,37
2021-01-05T10:15:52.286Z,38
2021-01-05T12:39:52.528Z,37
2021-01-05T12:39:57.74Z,38
2021-01-05T13:16:50.057Z,37
2021-01-05T13:16:55.28Z,38
2021-01-05T21:07:05.455Z,37
2021-01-05T21:07:10.676Z,38
2021-01-06T02:29:40.953Z,37
2021-01-06T02:29:46.164Z,38
2021-01-06T16:24:13.735Z,37
2021-01-06T16:24:18.953Z,38
2021-01-06T18:34:40.268Z,37
2021-01-06T18:34:45.464Z,38
2021-01-06T19:07:20.734Z,37
2021-01-06T19:07:25.955Z,38
2021-01-06T19:31:25.096Z,37
2021-01-06T19:31:30.326Z,38
2021-01-07T01:06:46.64Z,37
2021-01-07T01:06:51.852Z,38
2021-01-07T02:25:10.108Z,37
2021-01-07T02:25:15.32Z,38
2021-01-07T22:14:32.16Z,37
2021-01-07T22:14:37.401Z,38
2021-01-08T01:51:16.589Z,37
2021-01-08T01:51:21.805Z,38
2021-01-08T02:11:47.165Z,37
2021-01-08T02:11:52.377Z,38
2021-01-08T17:57:34.244Z,37
2021-01-08T17:57:39.455Z,38
2021-01-08T18:26:41.038Z,37
2021-01-08T18:26:46.25Z,38
2021-01-08T23:28:24.891Z,37
2021-01-08T23:28:30.129Z,38
2021-01-09T01:20:36.513Z,37
2021-01-09T01:20:41.73Z,38
2021-01-09T01:21:28.667Z,37
2021-01-09T01:21:33.912Z,38
2021-01-09T04:08:04.31Z,37
2021-01-09T04:08:09.522Z,38
2021-01-09T05:13:57.588Z,37
2021-01-09T05:14:02.799Z,38
2021-01-10T01:38:11.167Z,37
2021-01-10T01:38:16.379Z,38
2021-01-10T02:57:16.157Z,37
2021-01-10T02:57:21.38Z,38
2021-01-10T14:19:18.011Z,37
2021-01-10T14:19:23.242Z,38
2021-01-10T15:28:54.672Z,37
2021-01-10T15:28:59.915Z,38
2021-01-10T15:52:59.029Z,37
2021-01-10T15:53:04.242Z,38
2021-01-10T22:49:31.102Z,37
2021-01-10T22:49:36.312Z,38
2021-01-11T00:23:12.092Z,37
2021-01-11T00:23:17.309Z,38
2021-01-11T21:33:35.222Z,37
2021-01-11T21:33:40.434Z,38
2021-01-12T01:43:59.121Z,38
2021-01-12T02:20:42.892Z,38
2021-01-12T03:23:21.079Z,38
2021-01-12T04:50:52.839Z,37
2021-01-12T04:50:58.076Z,38
2021-01-12T12:03:05.48Z,37
2021-01-12T12:03:10.701Z,38
2021-01-12T16:39:15.322Z,37
2021-01-12T16:39:20.54Z,38
2021-01-12T22:40:59.315Z,37
2021-01-12T22:41:04.526Z,38
2021-01-13T00:01:27.32Z,37
2021-01-13T00:01:32.531Z,38
2021-01-13T00:36:49.11Z,37
2021-01-13T00:36:54.328Z,38
2021-01-13T00:50:06.782Z,37
2021-01-13T00:50:11.976Z,38
2021-01-13T06:37:15.305Z,37
2021-01-13T06:37:20.531Z,38
2021-01-14T14:08:11.804Z,37
2021-01-14T14:08:17.021Z,38
2021-01-14T20:21:03.129Z,37
2021-01-14T20:21:08.341Z,38
2021-01-15T01:58:01.676Z,37
2021-01-15T01:58:06.887Z,38
2021-01-15T02:45:23.31Z,37
2021-01-15T02:45:28.548Z,38
2021-01-15T08:46:38.757Z,37
2021-01-15T08:46:43.973Z,38
2021-01-15T11:14:29.739Z,37
2021-01-15T11:14:34.951Z,38
2021-01-15T12:08:27.46Z,37
2021-01-15T12:08:32.672Z,38
2021-01-15T12:12:22.068Z,37
2021-01-15T12:12:27.275Z,38
2021-01-15T16:30:10.527Z,37
2021-01-15T16:30:15.739Z,38
2021-01-15T19:45:08.37Z,37
2021-01-15T19:45:13.582Z,38
2021-01-15T20:51:10.731Z,37
2021-01-15T20:51:15.943Z,38
2021-01-15T21:49:02.888Z,37
2021-01-15T21:49:08.101Z,38
2021-01-15T22:38:19.039Z,37
2021-01-15T22:38:24.254Z,38
2021-01-16T18:45:38.031Z,37
2021-01-16T18:45:43.248Z,38
2021-01-17T01:44:58.738Z,37
2021-01-17T01:45:03.948Z,38
2021-01-17T04:11:34.242Z,37
2021-01-17T04:11:39.453Z,38
2021-01-18T05:18:36.096Z,37
2021-01-18T05:18:41.314Z,38
2021-01-18T11:54:35.063Z,37
2021-01-18T11:54:40.274Z,38
2021-01-18T18:16:45.16Z,37
2021-01-18T18:16:50.373Z,38
2021-01-19T02:10:54.796Z,38
2021-01-19T03:23:19.185Z,38
2021-01-19T04:52:53.174Z,37
2021-01-19T04:52:58.385Z,38
2021-01-19T12:09:11.528Z,37
2021-01-19T12:09:16.739Z,38
2021-01-19T21:03:30.582Z,37
2021-01-19T21:03:35.803Z,38
2021-01-21T08:57:33.859Z,37
